lead_id,name,domain,phone_visible,contact_form,horizontal_scroll_mobile,loads_under_5_seconds,meta_description_present,site_status,human_rank_1_to_20
sd_0083,Vivat Bacchus,vivatbacchus.co.uk,True,True,False,False,True,success,
sd_0016,Las Iguanas,iguanas.co.uk,False,False,False,True,False,success,
sd_0004,Jin Li,jinli.co.uk,False,False,False,True,False,success,
sd_0096,8 Hoxton Square,8hoxtonsquare.com,False,False,False,False,False,error,
sd_0037,Caffè Concerto,caffeconcerto.co.uk,False,False,False,False,True,success,
sd_0033,Aubaine,aubaine.co.uk,False,True,False,False,True,success,
sd_0030,Ta Ke,take-sushi.co.uk,False,False,False,False,False,success,
sd_0019,Cappadocia Restaurant Epsom,cappadociaepsom.co.uk,True,False,True,True,True,success,
sd_0015,Whitewebbs House,tobycarvery.co.uk,False,False,False,True,False,success,
sd_0088,Tbilisi,tbilisi-restaurant.co.uk,False,False,False,False,False,error,
sd_0071,Le Sacré Coeur,lesacrecoeurbistro.co.uk,True,False,False,False,False,success,
sd_0012,Spaghetti House,spaghettihouse.co.uk,False,False,False,True,True,success,
sd_0077,Gem,gemrestaurant.org.uk,True,True,False,True,True,success,
sd_0056,Gỗ,vietnamfood.co.uk,False,False,False,True,False,success,
sd_0005,The Meeting Bar and Restaurant,themeetingenfield.com,True,False,True,True,True,success,
sd_0029,River View Restaurant,riverview-restaurant.com,False,False,False,False,False,error,
sd_0031,Lemonia,lemonia.co.uk,True,False,False,False,False,success,
sd_0066,La Poule au Pot,pouleaupot.co.uk,False,False,False,True,True,success,
sd_0079,Schnitzel Heaven,schnitzelheaven.co.uk,True,True,False,True,True,success,
sd_0073,Mem & Laz,memlaz.co.uk,False,False,False,True,False,success,
